Learning Rate,Depth,Iterations,RMSE,NRMSE
0.01,4,500,0.4100272966986501,0.4100272966986501
0.01,4,1000,0.4085887227228207,0.4085887227228207
0.01,4,1500,0.4080890919753865,0.4080890919753865
0.01,6,500,0.4085434673158503,0.4085434673158503
0.01,6,1000,0.40765191405797213,0.40765191405797213
0.01,6,1500,0.4074530475774381,0.4074530475774381
0.01,8,500,0.4078688527876093,0.4078688527876093
0.01,8,1000,0.4074517277644661,0.4074517277644661
0.01,8,1500,0.4076014534290598,0.4076014534290598
0.05,4,500,0.4077568760168228,0.4077568760168228
0.05,4,1000,0.4078363750552621,0.4078363750552621
0.05,4,1500,0.40807620664539845,0.40807620664539845
0.05,6,500,0.40768296357078193,0.40768296357078193
0.05,6,1000,0.40845608245781473,0.40845608245781473
0.05,6,1500,0.40930234597043075,0.40930234597043075
0.05,8,500,0.40853042889255,0.40853042889255
0.05,8,1000,0.4105488709537626,0.4105488709537626
0.05,8,1500,0.41241530916350333,0.41241530916350333
0.1,4,500,0.4078874570859808,0.4078874570859808
0.1,4,1000,0.4084258701020914,0.4084258701020914
0.1,4,1500,0.4089998908481948,0.4089998908481948
0.1,6,500,0.40836071406325875,0.40836071406325875
0.1,6,1000,0.4100451007141579,0.4100451007141579
0.1,6,1500,0.41182638321450815,0.41182638321450815
0.1,8,500,0.41120432682855496,0.41120432682855496
0.1,8,1000,0.41506816232358246,0.41506816232358246
0.1,8,1500,0.4184665176376906,0.4184665176376906
