Warm_start,C,Penalty,Solver,Max_Iter,Accuracy
True,0.1,l1,liblinear,100,0.749736082764445
True,0.1,l1,liblinear,500,0.749736082764445
True,0.1,l1,liblinear,1000,0.749736082764445
True,0.1,l2,liblinear,100,0.7491026813991133
True,0.1,l2,liblinear,500,0.7491026813991133
True,0.1,l2,liblinear,1000,0.7491026813991133
True,1.0,l1,liblinear,100,0.7496657048349638
True,1.0,l1,liblinear,500,0.7496657048349638
True,1.0,l1,liblinear,1000,0.7496657048349638
True,1.0,l2,liblinear,100,0.7494545710465198
True,1.0,l2,liblinear,500,0.7494545710465198
True,1.0,l2,liblinear,1000,0.7494545710465198
True,10.0,l1,liblinear,100,0.7496657048349638
True,10.0,l1,liblinear,500,0.7496657048349638
True,10.0,l1,liblinear,1000,0.7496657048349638
True,10.0,l2,liblinear,100,0.749736082764445
True,10.0,l2,liblinear,500,0.749736082764445
True,10.0,l2,liblinear,1000,0.749736082764445
False,0.1,l1,liblinear,100,0.749736082764445
False,0.1,l1,liblinear,500,0.749736082764445
False,0.1,l1,liblinear,1000,0.749736082764445
False,0.1,l2,liblinear,100,0.7491026813991133
False,0.1,l2,liblinear,500,0.7491026813991133
False,0.1,l2,liblinear,1000,0.7491026813991133
False,1.0,l1,liblinear,100,0.7496657048349638
False,1.0,l1,liblinear,500,0.7496657048349638
False,1.0,l1,liblinear,1000,0.7496657048349638
False,1.0,l2,liblinear,100,0.7494545710465198
False,1.0,l2,liblinear,500,0.7494545710465198
False,1.0,l2,liblinear,1000,0.7494545710465198
False,10.0,l1,liblinear,100,0.7496657048349638
False,10.0,l1,liblinear,500,0.7496657048349638
False,10.0,l1,liblinear,1000,0.7496657048349638
False,10.0,l2,liblinear,100,0.749736082764445
False,10.0,l2,liblinear,500,0.749736082764445
False,10.0,l2,liblinear,1000,0.749736082764445
