Layer Configs,Learning Rate,Batch Size,Accuracy
"(64, 32)",0.001,32,0.7383534515277254
"(64, 32)",0.001,64,0.7414654847227461
"(64, 32)",0.01,32,0.7474066390041494
"(64, 32)",0.01,64,0.7472651829498302
"(128, 64)",0.001,32,0.710015088645794
"(128, 64)",0.001,64,0.717182195397963
"(128, 64)",0.01,32,0.7452847981893626
"(128, 64)",0.01,64,0.7445775179177668
"(64, 64, 32)",0.001,32,0.7223217653715579
"(64, 64, 32)",0.001,64,0.7163334590720483
"(64, 64, 32)",0.01,32,0.745473406261788
"(64, 64, 32)",0.01,64,0.74245567710298
